user_id,product_id,user_rating,category
A2JW67OY8U6HHK,1,5,Book
A2VE83MZF98ITY,1,5,Book
A11NCO6YTE4BTJ,2,5,Book
A9CQ3PLRNIR83,2,4,Book
A13SG9ACZ9O5IM,2,5,Book
A1BDAI6VEYMAZA,2,5,Book
A2P6KAWXJ16234,2,4,Book
AMACWC3M7PQFR,2,4,Book
A3GO7UV9XX14D8,2,4,Book
A1GIL64QK68WKL,2,5,Book
AEOBOF2ONQJWV,2,5,Book
A3IGHTES8ME05L,2,5,Book
A1CP26N8RHYVVO,2,1,Book
ANEIANH0WAT9D,2,5,Book
A3IDGASRQAW8B2,3,5,Book
A2591BUPXCS705,4,4,Book
ATVPDKIKX0DER,6,5,Book
AUEZ7NVOEHYRY,6,5,Book
ATVPDKIKX0DER,6,5,Book
AJYG6ZJUQPZ9M,6,4,Book
A2ESGJTTLJWIAK,6,5,Book
A2CHULHAO3A9BY,6,5,Book
A3BNWP7ATVP045,6,5,Book
AVOQ12GBXJ3F,6,2,Book
A2NJO6YE954DBH,6,5,Book
A393PYR83LT7R8,6,1,Book
AVY10FEFM6OBC,6,4,Book
A2OSPW11FVXTU6,6,4,Book
A32Z5HQGTG5V49,6,4,Book
A2WSI8HOWHFDOT,6,5,Book
A3BGC9MSXGM0WH,6,4,Book
A1IU7S4HCK1XK0,6,5,Book
A30JTDN020MAJB,6,4,Book
A2O3PW57IFNUHV,7,5,Music
A3FNRL9QYZOBDH,7,4,Music
A3SWAHVVHVPKWZ,7,5,Music
A2F1X6YFCJZ1FH,8,5,Book
A1OZQCZAK21S6M,8,5,Book
AL5D52NA8F67F,8,5,Book
AVFBIM1W41IXO,8,1,Book
A3I6SOXDIE0M8R,8,5,Book
A3559TE3F9RRNL,8,5,Book
ASPUU0H77LFXG,8,5,Book
A3L902U49A6X5K,8,5,Book
AL5OEDM8TPTKV,8,5,Book
A1R64WON03GTN4,8,5,Book
A2WKESDGF2YC8S,8,5,Book
A71P2O8OMF8GY,8,5,Book
AB8HLDYSDI5M7,8,4,Book
A37FDCXZLI0MAC,8,2,Book
AQE41QO3NEUMW,8,5,Book
A2RI73IFW2GWU1,10,4,Book
A1GE54WF2WUZ2X,10,5,Book
A36S399V1VC4DR,10,4,Book
