product_id,user_id,user_rating
1,A2JW67OY8U6HHK,5
1,A2VE83MZF98ITY,5
2,A11NCO6YTE4BTJ,5
2,A9CQ3PLRNIR83,4
2,A13SG9ACZ9O5IM,5
2,A1BDAI6VEYMAZA,5
2,A2P6KAWXJ16234,4
2,AMACWC3M7PQFR,4
2,A3GO7UV9XX14D8,4
2,A1GIL64QK68WKL,5
2,AEOBOF2ONQJWV,5
2,A3IGHTES8ME05L,5
2,A1CP26N8RHYVVO,1
2,ANEIANH0WAT9D,5
3,A3IDGASRQAW8B2,5
4,A2591BUPXCS705,4
6,ATVPDKIKX0DER,5
6,AUEZ7NVOEHYRY,5
6,ATVPDKIKX0DER,5
6,AJYG6ZJUQPZ9M,4
6,A2ESGJTTLJWIAK,5
6,A2CHULHAO3A9BY,5
6,A3BNWP7ATVP045,5
6,AVOQ12GBXJ3F,2
6,A2NJO6YE954DBH,5
6,A393PYR83LT7R8,1
6,AVY10FEFM6OBC,4
6,A2OSPW11FVXTU6,4
6,A32Z5HQGTG5V49,4
6,A2WSI8HOWHFDOT,5
6,A3BGC9MSXGM0WH,4
6,A1IU7S4HCK1XK0,5
6,A30JTDN020MAJB,4
7,A2O3PW57IFNUHV,5
7,A3FNRL9QYZOBDH,4
7,A3SWAHVVHVPKWZ,5
8,A2F1X6YFCJZ1FH,5
8,A1OZQCZAK21S6M,5
8,AL5D52NA8F67F,5
8,AVFBIM1W41IXO,1
8,A3I6SOXDIE0M8R,5
8,A3559TE3F9RRNL,5
8,ASPUU0H77LFXG,5
8,A3L902U49A6X5K,5
8,AL5OEDM8TPTKV,5
8,A1R64WON03GTN4,5
8,A2WKESDGF2YC8S,5
8,A71P2O8OMF8GY,5
8,AB8HLDYSDI5M7,4
8,A37FDCXZLI0MAC,2
8,AQE41QO3NEUMW,5
10,A2RI73IFW2GWU1,4
10,A1GE54WF2WUZ2X,5
10,A36S399V1VC4DR,4
10,A280GY5UVUS2QH,3
10,A2YHZJIU4L4IOI,4
10,A1MB83EO48TRSC,4
11,A2A1TNBFJNRADP,5
12,A2V9UBVMQFDV20,5
12,A3NXQLHXJZO5FB,5
12,A1RNV50D6DNE42,1
12,A3FVNS48MY8L32,5
12,A1WC6GEAVET9K8,5
12,A1PH1HGK2HFQ9G,5
12,A1DOK8OJ386KDS,5
12,A1E4FW0F5R7TOY,4
12,A14OJS0VWMOSWO,5
12,A3UDEP0MTKLLL2,5
12,A19UTUEBWKIZFT,1
12,A35X1EMOVF90JG,5
15,A2IGOA66Y6O8TQ,5
15,A2OIN4AUH84KNE,5
15,A2HN382JNT1CIU,1
15,A2FDJ79LDU4O18,4
15,A39QMV9ZKRJXO5,4
15,AUUVMSTQ1TXDI,1
15,A2C5K0QTLL9UAT,5
15,A5XYF0Z3UH4HB,5
16,A2C4FHNHVRR8JZ,5
16,ATVPDKIKX0DER,5
16,A1XPCHKIFECW33,4
16,A17VTMYNK7FHHG,5
16,A331OF34UX4Y1K,4
16,A3KMI0ZF739BW5,5
16,A26BWRBPP4V2WF,4
16,A3AAX9AO0CIFBI,5
16,A2DOKCCVTGTAE2,5
16,A1BVYFPZ0ZAYYV,3
17,A3DMU8D8N76WRH,5
17,AH1H2DBKZ8WFA,5
17,A3S1M10UPEQ3ED,1
18,ATVPDKIKX0DER,5
18,ATVPDKIKX0DER,5
18,A21F29TO32JOU5,5
18,A37S91N4IX72W2,5
18,A1SXWD2D3W3TXK,5
18,AKMBV0IV5WIC5,5
18,AKMBV0IV5WIC5,5
18,A3QSUZVVNYZZ7L,5
18,A1HNKSWGRW0YKB,5
18,A1HNKSWGRW0YKB,5
18,ABSIJ0Q8N0VKP,3
18,A388KDPHUB94V3,5
18,ATT0FBIM6YNX7,5
18,A1LFRJ3CSQFCI6,5
18,A1UPGL67SKBSPJ,5
19,A1RLXSCKKMI4KF,3
19,ATS7LYGLUX34L,5
19,ATS7LYGLUX34L,5
19,A3DQ6L24TOMXAZ,4
19,A3M6J4CTJ13QBX,2
19,A4JP4T1F95D0A,2
19,A2S166WSCFIFP5,4
19,ADC571K8L3ZLN,4
20,AWHGCJOOZBTB5,5
